Date,Open,High,Low,Close,Volume
19-Dec-17,1189.15,1192.97,1179.14,1187.38,2587792
18-Dec-17,1187.37,1194.78,1180.91,1190.58,2947625
15-Dec-17,1179.03,1182.75,1169.33,1179.14,4778621
14-Dec-17,1163.71,1177.93,1162.45,1174.26,3214337
13-Dec-17,1170.00,1170.87,1160.27,1164.13,2616760
12-Dec-17,1166.51,1173.60,1161.61,1165.08,2235892
11-Dec-17,1164.60,1169.90,1157.00,1168.92,2363473
8-Dec-17,1170.40,1172.79,1157.10,1162.00,3050074
7-Dec-17,1156.59,1163.19,1151.00,1159.79,2511569
6-Dec-17,1137.99,1155.89,1136.08,1152.35,2853316
5-Dec-17,1128.26,1159.27,1124.74,1141.57,4079774
4-Dec-17,1173.85,1175.20,1128.00,1133.95,5931915
1-Dec-17,1172.05,1179.65,1152.00,1162.35,4107094
30-Nov-17,1167.10,1178.57,1160.00,1176.75,4509208
29-Nov-17,1194.80,1194.80,1145.19,1161.27,9257512
28-Nov-17,1204.88,1205.34,1188.52,1193.60,4559449
27-Nov-17,1202.66,1213.41,1191.15,1195.83,6744045
24-Nov-17,1160.70,1186.84,1160.70,1186.00,3528011
22-Nov-17,1141.00,1160.27,1141.00,1156.16,3555273
21-Nov-17,1132.86,1140.00,1128.20,1139.49,2479397
20-Nov-17,1129.77,1133.42,1122.55,1126.31,2163855
17-Nov-17,1138.28,1138.80,1125.81,1129.88,2413388
16-Nov-17,1130.16,1138.16,1130.05,1137.29,2213322
15-Nov-17,1127.01,1131.75,1121.63,1126.69,3928680
14-Nov-17,1130.11,1138.00,1123.89,1136.84,3138423
13-Nov-17,1123.00,1139.90,1122.34,1129.17,2918439
10-Nov-17,1126.10,1131.75,1124.06,1125.35,2179937
9-Nov-17,1125.96,1129.62,1115.77,1129.13,3732732
8-Nov-17,1122.82,1135.54,1119.11,1132.88,2581451
7-Nov-17,1124.74,1130.60,1117.50,1123.17,2688977
6-Nov-17,1109.15,1125.41,1108.77,1120.66,3381138
3-Nov-17,1091.15,1112.68,1088.52,1111.60,3751480
2-Nov-17,1097.81,1101.94,1086.87,1094.22,3684876
1-Nov-17,1105.40,1108.97,1096.74,1103.68,3755511
31-Oct-17,1109.00,1110.54,1101.12,1105.28,3476967
30-Oct-17,1095.01,1122.79,1093.56,1110.85,6613064
27-Oct-17,1058.14,1105.58,1050.55,1100.95,16565021
26-Oct-17,980.33,982.90,968.55,972.43,5618675
25-Oct-17,978.00,984.44,966.24,972.91,3033113
24-Oct-17,969.00,979.85,965.00,975.90,2723935
23-Oct-17,986.73,986.78,962.50,966.30,3494100
20-Oct-17,993.53,994.62,982.00,982.91,2365122
19-Oct-17,990.00,991.05,980.24,986.61,3108197
18-Oct-17,1009.27,1022.31,996.55,997.00,2499681
17-Oct-17,1005.59,1011.47,1004.38,1009.13,2319742
16-Oct-17,1008.44,1009.57,1001.04,1006.34,2008908
13-Oct-17,1007.00,1007.77,1001.03,1002.94,2431462
12-Oct-17,996.81,1008.44,992.40,1000.93,4067317
11-Oct-17,991.27,995.50,986.70,995.00,2337113
10-Oct-17,996.67,997.95,980.10,987.20,3084921
9-Oct-17,993.24,998.50,987.50,990.99,2938586
6-Oct-17,975.64,995.75,975.64,989.58,3782067
5-Oct-17,970.00,981.51,969.64,980.85,3229224
4-Oct-17,954.21,967.79,954.05,965.45,2527352
3-Oct-17,958.00,963.69,950.37,957.10,2666574
2-Oct-17,964.00,967.30,952.12,959.19,2442937
29-Sep-17,960.11,964.83,958.38,961.35,2543759
28-Sep-17,951.86,959.70,950.10,956.40,2522567
27-Sep-17,948.00,955.30,943.30,950.87,3124726
26-Sep-17,945.49,948.63,931.75,938.60,3564848
25-Sep-17,949.31,949.42,932.89,939.79,5123997
22-Sep-17,961.01,965.61,954.42,955.10,2641787
21-Sep-17,971.31,971.70,962.02,964.65,2337576
20-Sep-17,971.79,974.81,962.16,973.21,2888795
19-Sep-17,977.25,978.24,967.46,969.86,2671054
18-Sep-17,990.40,992.79,968.17,974.19,3411324
15-Sep-17,993.01,996.25,984.03,986.79,3760183
14-Sep-17,996.80,998.56,987.74,992.21,3913263
13-Sep-17,983.97,1000.00,979.42,999.60,3374650
12-Sep-17,983.27,984.67,975.52,982.58,2481066
11-Sep-17,974.46,981.94,974.22,977.96,2186666
8-Sep-17,979.10,979.88,963.47,965.90,2605322
7-Sep-17,974.00,980.59,972.55,979.47,2566794
6-Sep-17,968.32,971.84,960.60,967.80,2129861
5-Sep-17,975.40,976.77,960.37,965.27,2998649
1-Sep-17,984.20,984.50,976.88,978.25,2535917
31-Aug-17,974.70,981.00,972.76,980.60,3331488
30-Aug-17,958.44,969.41,956.91,967.59,2904604
29-Aug-17,940.00,956.00,936.33,954.06,2874299
28-Aug-17,946.54,953.00,942.25,946.02,2596737
25-Aug-17,956.00,957.62,944.10,945.26,3324791
24-Aug-17,957.42,959.00,941.14,952.45,5195726
23-Aug-17,959.38,962.00,954.20,958.00,2668264
22-Aug-17,955.52,967.93,955.50,966.90,2749970
21-Aug-17,957.57,961.20,945.46,953.29,3164483
18-Aug-17,961.40,965.43,954.65,958.47,3284821
17-Aug-17,977.84,977.84,960.32,960.57,3512397
16-Aug-17,981.65,986.46,973.22,978.18,3132066
15-Aug-17,988.90,991.74,982.00,982.74,2549295
14-Aug-17,978.41,985.50,976.19,983.30,3172892
11-Aug-17,960.00,970.39,951.38,967.99,3468017
10-Aug-17,976.30,979.86,954.68,956.92,5684068
9-Aug-17,982.60,988.00,975.27,982.01,3569731
8-Aug-17,994.35,996.28,985.79,989.84,2902815
7-Aug-17,990.65,995.00,987.14,992.27,2676607
4-Aug-17,989.68,991.67,982.00,987.58,2730308
3-Aug-17,999.47,999.50,984.59,986.92,3255764
2-Aug-17,1001.77,1003.21,981.73,995.89,4069993
1-Aug-17,996.11,1006.40,991.58,996.19,4572576
31-Jul-17,1019.05,1019.05,987.02,987.78,7352063
28-Jul-17,1012.14,1032.85,1001.00,1020.04,7709420
27-Jul-17,1069.55,1083.31,1040.18,1046.00,10991715
26-Jul-17,1043.20,1053.20,1043.20,1052.80,2921253
25-Jul-17,1038.05,1043.33,1032.48,1039.87,2447629
24-Jul-17,1028.34,1043.01,1027.43,1038.95,3288020
21-Jul-17,1021.28,1026.10,1011.00,1025.67,2734577
20-Jul-17,1031.59,1034.97,1022.52,1028.70,3097487
19-Jul-17,1025.00,1031.59,1022.50,1026.87,2963964
18-Jul-17,1006.00,1026.03,1004.00,1024.45,4007624
17-Jul-17,1004.69,1014.75,1003.81,1010.04,3712587
14-Jul-17,1002.40,1004.45,996.89,1001.81,2102469
13-Jul-17,1004.62,1006.88,995.90,1000.63,2880769
12-Jul-17,1000.65,1008.55,998.10,1006.51,3608574
11-Jul-17,993.00,995.99,983.72,994.13,2982726
10-Jul-17,985.00,999.44,983.50,996.47,3546268
7-Jul-17,969.55,980.11,969.14,978.76,2643387
6-Jul-17,964.66,974.40,959.02,965.14,3259613
5-Jul-17,961.53,975.00,955.25,971.40,3652955
3-Jul-17,972.79,974.49,951.00,953.66,2909108
30-Jun-17,980.12,983.47,967.61,968.00,3390345
29-Jun-17,979.00,987.56,965.25,975.93,4302968
28-Jun-17,978.55,990.68,969.21,990.33,3737567
27-Jun-17,990.69,998.80,976.00,976.78,3782389
26-Jun-17,1008.50,1009.80,992.00,993.98,3386157
23-Jun-17,1002.54,1004.62,998.02,1003.74,2879145
22-Jun-17,1002.23,1006.96,997.20,1001.30,2253433
21-Jun-17,998.70,1002.72,992.65,1002.23,2922473
20-Jun-17,998.00,1004.88,992.02,992.59,4076828
19-Jun-17,1017.00,1017.00,989.90,995.17,5043408
16-Jun-17,996.00,999.75,982.00,987.71,11472662
15-Jun-17,958.70,965.73,950.86,964.17,5373865
14-Jun-17,988.59,990.34,966.71,976.47,3974900
13-Jun-17,977.99,984.50,966.10,980.79,4580011
12-Jun-17,967.00,975.95,945.00,964.91,9447233
9-Jun-17,1012.50,1012.99,927.00,978.31,7647692
8-Jun-17,1012.06,1013.61,1006.11,1010.27,2767857
7-Jun-17,1005.95,1010.25,1002.00,1010.07,2823041
6-Jun-17,1012.00,1016.50,1001.25,1003.00,3346432
5-Jun-17,1007.23,1013.21,1003.51,1011.34,2719859
2-Jun-17,998.99,1008.48,995.67,1006.73,3752328
1-Jun-17,998.59,998.99,991.37,995.95,2454841
31-May-17,1000.00,1000.12,982.16,994.62,3913115
30-May-17,996.51,1001.20,995.52,996.70,3263069
26-May-17,995.00,998.65,989.25,995.78,3469154
25-May-17,984.85,999.00,982.11,993.38,4822032
24-May-17,976.00,981.00,970.23,980.35,2463052
23-May-17,975.02,975.20,966.85,971.54,2415594
22-May-17,964.00,971.38,962.90,970.67,2642217
19-May-17,962.84,968.92,959.72,959.84,3972089
18-May-17,944.80,962.75,944.76,958.49,3939347
17-May-17,954.70,960.40,944.12,944.76,5145578
16-May-17,961.00,970.06,960.91,966.07,3126051
15-May-17,958.73,963.15,956.06,957.97,4270625
12-May-17,954.50,962.79,951.53,961.35,3625857
11-May-17,945.11,950.29,940.78,947.62,2194070
10-May-17,953.50,953.75,945.00,948.95,2096512
9-May-17,952.80,957.89,950.20,952.82,3262113
8-May-17,940.95,949.05,939.21,949.04,3415731
5-May-17,940.52,940.79,930.30,934.15,2866397
4-May-17,944.75,945.00,934.22,937.53,2418381
3-May-17,946.00,946.00,935.90,941.03,3582686
2-May-17,946.64,950.10,941.41,946.94,3848835
1-May-17,927.80,954.40,927.80,948.23,5466544
28-Apr-17,948.83,949.59,924.33,924.99,7364681
27-Apr-17,914.39,921.86,912.11,918.38,5305543
26-Apr-17,910.30,915.75,907.56,909.29,2608948
25-Apr-17,907.04,909.48,903.00,907.62,3380639
24-Apr-17,908.68,909.99,903.82,907.41,3122893
21-Apr-17,902.67,903.65,896.77,898.53,2420494
20-Apr-17,899.70,905.32,896.29,902.06,2814441
19-Apr-17,907.84,910.50,897.37,899.20,2870242
18-Apr-17,900.99,909.61,900.78,903.78,2999238
17-Apr-17,887.50,902.38,887.50,901.99,2854673
13-Apr-17,891.45,894.97,884.49,884.67,3174583
12-Apr-17,903.09,904.09,895.25,896.23,2456140
11-Apr-17,907.04,911.24,897.50,902.36,3012743
10-Apr-17,899.63,908.51,899.00,907.04,3184301
7-Apr-17,899.65,900.09,889.31,894.88,3710922
6-Apr-17,913.80,917.19,894.49,898.28,6344065
5-Apr-17,910.82,923.72,905.62,909.28,7508370
4-Apr-17,891.50,908.54,890.28,906.83,4984656
3-Apr-17,888.00,893.49,885.42,891.51,3422328
31-Mar-17,877.00,890.35,876.65,886.54,3957612
30-Mar-17,874.95,877.06,871.66,876.34,2762730
29-Mar-17,859.05,876.44,859.02,874.32,4485770
28-Mar-17,851.75,858.46,850.10,856.00,3041633
27-Mar-17,838.07,850.30,833.50,846.82,2755775
24-Mar-17,851.68,851.80,843.53,845.61,2138269
23-Mar-17,848.20,850.89,844.80,847.38,1952964
22-Mar-17,840.43,849.37,839.05,848.06,2658669
21-Mar-17,858.84,862.80,841.31,843.20,4382852
20-Mar-17,851.51,857.80,851.01,856.97,2282727
17-Mar-17,853.49,853.83,850.64,852.31,3384403
16-Mar-17,855.30,855.50,850.51,853.42,1842296
15-Mar-17,854.33,854.45,847.11,852.97,2562176
14-Mar-17,853.55,853.75,847.55,852.53,2130586
13-Mar-17,851.77,855.69,851.71,854.59,1909672
10-Mar-17,857.00,857.35,851.72,852.46,2436434
9-Mar-17,851.00,856.40,850.31,853.00,2048187
8-Mar-17,848.00,853.07,846.79,850.50,2288317
7-Mar-17,845.48,848.46,843.75,846.02,2247554
6-Mar-17,845.23,848.49,841.12,846.61,2610370
